keywords,answers
ตึกนวมินทร์,นี่คือ link รูปอาคารนวมินทร์อาคารนวมินทราธิราช https://th.wikipedia.org/wiki/%E0%B9%84%E0%B8%9F%E0%B8%A5%E0%B9%8C:%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%99%E0%B8%A7%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%A3%E0%B8%B2%E0%B8%8A_%E0%B8%99%E0%B8%B4%E0%B8%94%E0%B9%89%E0%B8%B2.jpg
สวัสดี,สวัสดีครับ พิมพ์สิ่งที่ต้องการให้ป๊อกป๊อกช่วยได้เลยครับ
กำหนดการสอบปากเปล่า ครั้งที่ 4/2566,นี่คือกำหนดการสอบปากเปล่า ครั้งที่ 4/2566 ครับ https://as.nida.ac.th/oral-schedule-4-66/
ถ่ายเอกสาร,นี่คือ link แสดงรายละเอียดราคา ตำแหน่งที่ตั้ง และวิธีการใช้งาน DoubleA Fastprint ครับ https://idt.nida.ac.th/wp-content/uploads/2023/03/fast-print-web.jpg
สมัครเรียน,link สำหรับข้อมูลกระสมัครเรียนครับ https://nida.ac.th/admissions-calendar/
ติดต่อเจ้าหน้าที่,"นี่คือช่องทางติดต่อเจ้าหน้าประจำคณะครับ https://as.nida.ac.th/officer/
หรือสามารถติดต่อได้ที่ ชั้น 12 อาคารนวมินทราธิราช
คณะเปิดทำการทุกวัน เวลา 8:30 - 16:30 น. ** เว้นวันหยุดนักขัตฤกษ์ครับ"
เวลาเปิดปิดคณะ,คณะเปิดทำการทุกวัน เวลา 8:30 - 16:30 น. ** เว้นวันหยุดนักขัตฤกษ์ครับ
สวัสดีครับ,สวัสดีครับ พิมพ์สิ่งที่ต้องการให้ป๊อกป๊อกช่วยได้เลยครับ
สวัสดีค่ะ,สวัสดีครับ พิมพ์สิ่งที่ต้องการให้ป๊อกป๊อกช่วยได้เลยครับ
ตารางเรียน,กรุณาระบุภาค และปีการศึกษา เช่น ตารางเรียน 3/2566
ตารางสอบ,กรุณาระบุภาค และปีการศึกษา เช่น ตารางสอบ 2/2566
ปฏิทินการศึกษา,"กรุณาระบุปีการศึกษา เช่น ""ปฏิทินการศึกษา สถาบัน 2566"" หรือ ""ปฏิทินการศึกษา คณะ 2566"""
กำหนดการสอบประมวลผลความรู้และการสอบปากเปล่า,"กรุณาระบุปีการศึกษา เช่น ""กำหนดการสอบประมวลผลความรู้และการสอบปากเปล่า 2567"""
สอบ oral,นี่คือ link แสดงเกณฑ์การสอบปากเปล่า Oral Exam ครับ https://as.nida.ac.th/oral-exam/
กำหนดการสอบปากเปล่า,กรุณาระบุครั้งที่ และปีการศึกษา เช่น กำหนดการสอบปากเปล่า 4/2566
ทุนการศึกษา,นี่คือ link แสดงประเภท และรายละเอียดทุนการศึกษา สำหรับนักศึกษาภาคปกติ ครับ https://as.nida.ac.th/%e0%b8%97%e0%b8%b8%e0%b8%99%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%a8%e0%b8%b6%e0%b8%81%e0%b8%a9%e0%b8%b2/
ปริ้นท์งาน,นี่คือ link แสดงรายละเอียดราคา ตำแหน่งที่ตั้ง และวิธีการใช้งาน DoubleA Fastprint ครับ https://idt.nida.ac.th/wp-content/uploads/2023/03/fast-print-web.jpg
ติดต่ออาจารย์,นี่คือช่องทางติดต่อคณาจารย์คณะครับ https://as.nida.ac.th/lecturer/
สมัครสอบ nidateap,สามารถสมัครสอบ NIDA Teap ได้ที่ https://lc2015.nida.ac.th/eng-exam/th/apply_exam
หลักสูตร dads,นี่คือ link สำหรับ รายละเอียดสาขา Data Analytics and Data Science https://as.nida.ac.th/dads-1/
หลักสูตร madt,นี่คือ link สำหรับ รายละเอียดสาขา Management of Analytics and Data Technologies https://as.nida.ac.th/madt-1/
dads 5001,นี่คือ link สำหรับ รายละเอียดวิชาในสาขาDADS https://as.nida.ac.th/wp-content/uploads/2021/06/DADS_%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5-%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%A3%E0%B8%B8%E0%B8%87-%E0%B8%9E.%E0%B8%A8.2564.pdf
dads 6003,นี่คือ link สำหรับ รายละเอียดวิชาในสาขาDADS https://as.nida.ac.th/wp-content/uploads/2021/06/DADS_%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5-%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%A3%E0%B8%B8%E0%B8%87-%E0%B8%9E.%E0%B8%A8.2564.pdf
ค่าใช้จ่าย,"กรุณาระบุหลักสูตร เช่น ""ค่าใช้จ่ายหลักสูตร DADS"" หรือ ""ค่าใช้จ่ายหลักสูตร ""LSCM"""
ค่าใช้จ่ายหลักสูตร lscm,นี่คือ link แสดงรายละเอียดค่าใช้จ่ายตลอดหลักสูตรของ LSCM https://as.nida.ac.th/lscm/ 
วารสารคณะ,"วารสารของทางมี 2 เว็ปไซต์
1. https://ph02.tci-thaijo.org/index.php/TJOR
2. https://ph02.tci-thaijo.org/index.php/asit-journal/index"
จองห้องแลปชั้น 4,สามารถจองใช้งานห้อง Smart Lab ชั้น 4 ได้ที่เบอร์โทร 02-727-3083-4 ติดต่อ พี่สา และ พี่สุระ
จองห้อง lab ชั้น 4,สามารถจองใช้งานห้อง Smart Lab ชั้น 4 ได้ที่เบอร์โทร 02-727-3083-4 ติดต่อ พี่สา และ พี่สุระ
facbook คณะ,นี่คือ link สำหรับเข้าชม Facebook ของทางคณะ https://www.facebook.com/GSASNIDA
เอกสารสมัครเรียน,"ผู้สมัครจะต้องยื่นใบสมัครพร้อมหลักฐานต่าง ๆ ดังนี้
1. ใบสมัครที่กรอกข้อมูลครบถ้วน (สถาบันขอสงวนสิทธิ์ในการไม่พิจารณาใบสมัครที่กรอก
ข้อมูลไม่ครบถ้วน) โดยสามารถดาวน์โหลดไฟล์ใบสมัครได้ที่เว็บไซต์ https://entrance.nida.ac.th
2. รูปถ่าย 1 นิ้ว หน้าตรง (ถ่ายมาแล้วไม่เกิน 6 เดือน) โดยแนบไว้ในไฟล์ใบสมัคร หรือส่ง
แยกเป็นไฟล์รูปภาพ
3. สำเนาบัตรประจ าตัวประชาชน 1 ชุด
4. สำเนาใบแสดงผลการศึกษา (Transcript) 1 ฉบับ (ระบุวันส าเร็จการศึกษา) ส าหรับ
ผู้ที่ศึกษาระดับปริญญาตรี หลักสูตรต่อเนื่อง 2 ปี จะต้องแนบส าเนาใบแสดงผลการศึกษา
(Transcript) ในระดับอนุปริญญา (ปวส.) หรือเทียบเท่า มาด้วย 1 ฉบับ
5. สำเนาใบปริญญาบัตร หรือ หนังสือรับรอง (ฉบับสภามหาวิทยาลัยอนุมัติ) 1 ฉบับ
6. หนังสือรับรองการท างาน 1 ฉบับ
7. ใบเปลี่ยนชื่อ – สกุล (เฉพาะกรณีที่ชื่อ – สกุล ไม่ตรงกับหลักฐานการสมัครอื่น ๆ)
8. หนังสือรับรองการได้ทุนสนับสนุนการศึกษาจากหน่วยงาน (ถ้ามี)
9. ผลการสอบวิชาเฉพาะ 2 และ/หรือวิชาเฉพาะ 1 ของสถาบัน และ/หรือผลการสอบวิชา
ภาษาอังกฤษอื่น ๆ และผลการสอบอื่น ๆ (ถ้ามี)
* เอกสารลำดับที่ 6.8 และ 6.9 หากผู้สมัครไม่มีเอกสารดังกล่าว ไม่จำเป็นต้องยื่น
** เอกสารสำเนาทุกฉบับ ให้รับรองสำเนาถูกต้องโดยเจ้าของเอกสาร

สามารถตรวจสอบ รายละเอียดอื่นๆได้ที่ link นี้เลยครับ https://as.nida.ac.th/wp-content/uploads/2024/02/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8-125-%E0%B8%81%E0%B8%9A-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%A1%E0%B8%B1%E0%B8%84%E0%B8%A3_2-67-%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9-%E0%B8%AA%E0%B8%9B.pdf"
ผลสอบเข้า ภาคพิเศษ,"link สำหรับผลการคัดเลือกเข้าศึกษาต่อ ปริญญาโท ภาคพิเศษ ป๊อกป๊อกขอให้โชคดีครับบ 
https://as.nida.ac.th/admissionresults-pt-1-67/ "
ผลสอบเข้า ภาคปกติ,"link สำหรับผลการคัดเลือกเข้าศึกษาต่อ ปริญญาโท ภาคปกติครับ ป๊อกป๊อกขอให้โชคดีครับบ 
https://edserv.nida.ac.th/category/news/selection-results/"
ที่นั่งทำงาน,"Space นั่งทำงานสำหรับนักศึกษา NIDA
1.หอสมุดสุขุมนวพันธ์ ชั้น 2-4 อาคาร บุญชนะ อัตถากร
2.ห้องสมุดอาเซียน ถนัด คอมันตร์ ชั้น 21 อาคารนวมินทราธิราช
3.IDT Co-learning space ชั้น 9 อาคารสยามบรมกุราชกุมารี  
4.GSAS Smart Lab ชั้น 4 อาคารสยามบรมกุราชกุมารี ที่นี้เฉพาะนักศึกษาคณะสถิติประยุกต์เท่านั้นนะครับ"
ออกกำลังกายที่ไหน,"สถานที่ออกกำลังกายในNIDA 
ชั้น 2 อาคารชุบ กาญจนประกร (ตึกเซเว่น) สนามแบตมินตัน สนามบาส และฟิตเนส
หรือถ้าอยากเล่นฟุตบอล ใช้สนามกลางมอได้เลยครับ"
ห้องสมุด,"ห้องสมุดของNIDA มีด้วยกัน 2 ที่ ครับ
1. หอสมุดสุขุมนวพันธ์ ชั้น 2-4 อาคาร บุญชนะ อัตถากร เปิดให้บริการ วันจันทร์-ศุกร์ เวลา 8:30-17:30 น. และ วันเสาร์-อาทิตย์ เวลา 8:30-21:00 น.
2. ห้องสมุดอาเซียน ถนัด คอมันตร์ ชั้น 21 อาคารนวมินทราธิราช เปิดให้บริการวันจันทร์-ศุกร์ เวลา 8.30-16.30 น. 
เว็ปไซต์สำหรับห้องสมุดออนไลน์ https://nida.ac.th/library/"
nidateap คือ,เป็นการสอบวัดระดับภาษาอังกฤษของทาง NIDA มีจำนวน 50 ข้อ ประกอบด้วย 2 ส่วนหลัก คือ Modified Cloze (การบูรณาการทักษะด้านคำศัพท์ ไวยากรณ์ และการอ่าน) และส่วนที่ 2 Reading Complehension (การวัดทักษะการอ่านภาษาอังกฤษเชิงวิชาการ) ข้อสอบจัดทำโดยผู้ทรงคุณวุฒิทั้งชาวไทยและชาวต่างชาติที่เป็นเจ้าของภาษา อัตราค่าธรรมเนียมการสอบ 200 บาท ต่อการสอบในแต่ละครั้ง ครับ
nidateap สอบเมื่อไหร่,สามารถเช็ควันเวลาสอบได้ที่ https://lc2015.nida.ac.th/eng-exam/th/index ครับ
ค่าสอบ nidateap,อัตราค่าธรรมเนียมการสอบ 200 บาท ต่อการสอบในแต่ละครั้ง ครับ
เปิดเรียนเมื่อไหร่,"ภาคการศึกษาที่ 3/2566 (Summer) เปิดเรียนวันที่ 8 มิถุนายน 2567
ภาคการศึกษาที่ 1/2567 เปิดเรียนวันที่ 13 สิงหาคม 2567"
ใบสมัครส่งยังไง,"ส่งหลักฐานการสมัครพร้อมใบสมัครตามที่
นี้เลยครับ
 - เว็บไซต์รับสมัคร Online (Attached File)
 - E-mail: applynida-t@nida.ac.th"
บัตรนักศึกษาได้เมื่อไหร่,"ขึ้นอยู่กับจำนวนนักศึกษา และทางธนาคารกรุงเทพครับ ติดตามข่าวสารได้จากททางคณะครับ
ในช่วงที่ยังไม่ได้รับบัตรนักศึกษา ป๊อกปีอกขอแนะนำให้ใช้ NIDA U-APP สำหรับรับบริการสิ่งอำนวยความสดวกต่างๆในมอครับ"
รูปถ่ายส่งทีหลังได้ไหม,ได้ครับ
nidateapต้องผ่านเท่าไหร่,สามารถตรวจสอบเกณฑ์การใช้คะแนน NIDA Teap ได้ที่ https://lc2015.nida.ac.th/eng-exam/th/condition ครับ
คณะหยุดไหม,วันนี้ทางคณะไม่หยุดครับ
จ่ายค่าเทอมวันไหน,ค่าเทอมสำหรับภาคการศึกษา 3/2566 (Summer)
เนื้อหาเรียนเป็นยังไงบ้าง,เนื้อหาเรียนอยู่ในเว็บคณะครับสามารถดูที่ได้ที่Linkนี้ครับ  https://as.nida.ac.th/dads-1/
ห้องพยาบาล,"ห้องพยาบาลของ NIDA อยู่ที่ ชั้น1 อาคารชุบ กาญจนประกร (ตึกเซเว่น)
การรักษาพยาบาลเบื้องต้นโดยพยาบาล
ทุกวันจันทร์ – วันศุกร์ เวลา 8.30-16.30 น.
ทุกวันเสาร์ – วันอาทิตย์ เวลา 10.00-16.00 น.

การตรวจรักษาโดยแพทย์ ด้านอายุรกรรม
ทุกวันจันทร์และวันพุธ เวลา 13.00 – 16.00 น.

การตรวจรักษาโดยจิตแพทย์
ออกตรวจทุกวันอาทิตย์ เวลา 10.00 – 12.00 น.
** เว้นวันหยุดนักขัตฤกษ์"
สิ่งอำนวยความสะดวก,Link แนะนำสิ่งอำนวยความสะดวกใน NIDA ครับ https://nida.ac.th/facilities/
